,Market Name,Address Line 1,City,Zip,Contact,State,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude
58,Clinton Farmers' Market,21 West Park Row,Clinton,13323.0,Jackie Walters,NY,3158531735,http://www.clintonnychamber.org,Thursday  10am-4pm,June 4-October 1,M,Y,Y,N,Y,43.04932,-75.37881
59,Bath Wednesday Farmers' Market,Steuben St and Liberty St,Bath,14810.0,Hazel Buck,NY,6077943494,http://www.facebook.com/bathnyfarmersmarket/,Wednesday  9am-2pm,May 6-October 28,P/M,Y,Y,N,Y,42.33353,-77.31842
60,Taste NY at WNY Welcome Center Farmers Market,1999 Alvin Rd,Grand Island,,Renee Day,NY,7169843040,,Thursday 4pm-7pm,June 25-September 3,M,N,N,N,Y,43.01578,-78.97151
61,Mountain Weavers' Farm Store,4322 Main Street,Port Henry,12974.0,Pam Munson,NY,5185463386,http://www.mountainweaversguild.com,Mon-Fri 8am-4pm,Year-Round,YR,Y,Y,N,Y,44.04849,-73.45958
62,Candor Farmers Market,101 Owego Rd,Candor,13743.0,Joellen Riggs,NY,6077684072,http://www.candorfarmersmarket.org/,Thu 3:30pm-6:30pm,June 25-September 3,M,Y,Y,N,Y,42.23249,-76.33317
63,Martin's Farm Stand,11 Needham Rd.,Potsdam,13676.0,Daniel Martin,NY,3152651246,http://www.martinsfarmstand.com,Mon-Sat  10am-6pm,May 6-November 25,P/M,Y,Y,N,Y,44.67107,-74.90401
64,Veggie Mobile Sprout-Lansingburgh Apts,41 114th Street,Troy,12182.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Wed 2:30pm-3:15pm,Year-round,YR,Y,Y,Y,Y,42.77223,-73.67258
65,Troy Waterfront WINTER Farmers' Market,865 2nd Avenue,Troy,12182.0,Stephen Ridler,NY,5187084216,http://www.troymarket.org,Saturday  9am-2pm,"Dec 5-March 27, 2021",X/W/P,N,Y,N,Y,42.73196,-73.68893
66,Veggie Mobile-North Albany YMCA,616 North Pearl Street,Albany,12204.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Wed 4:45pm-5:45pm,Year-round,YR,Y,Y,Y,Y,42.67368,-73.73953
67,Columbia Sun Greenmarket,Broadway and West 115th St,New York,10027.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket,Sunday  8am-3pm,Year-round,YR,Y,Y,N,Y,40.8073,-73.9643
68,Russell Farms Farm Stand,2909 Old Vestal Rd,Vestal,13850.0,Allison Russell,NY,6079725793,http://www.russell-farm.com,Daily 8am-6pm,September 1-Nov 30,M,Y,N,N,Y,42.1009,-76.0078
69,Prays Family Farm Stand -Tupper Lake,89 Demars Blvd.,Tupper Lake,12986.0,Darcy Pray,NY,5188347437,,Saturday 9am-4pm,June 20-October 31,M,Y,N,N,Y,44.23305,-74.46489
70,Potsdam Farmers' Market,Main St and Union St,Potsdam,13676.0,Jennifer McAvoy,NY,3155282454,http://www.facebook.com/thepotsdamfarmersmarket,Saturday  9am-2pm,May 9-October31,P/M,Y,Y,N,Y,44.66865,-74.98493
71,Seaford Farmers' Market,Sunrise Highway and Washington St.,Seaford,11783.0,Ethel Terry,NY,6313233653,http://www.longislandgrowersmarket.com,Saturday  7am-12pm,June 6-November 21,M,Y,N,N,Y,40.67572,-73.48657
72,MAP Mobile Market-Seneca St. CDC,1218 Seneca St,Buffalo,14210.0,Danielle Rovillo,NY,7168825327,http://www.mass-ave.org,Monday 2pm-3pm,August 1-December 31,M/X,Y,Y,N,Y,42.87018,-78.83319
73,Fredonia WINTER Farmers' Market,321 East Main St. (Rte 20),Fredonia,14063.0,Rosemary Joy,NY,7164107313,http://www.facebook.com/FredoniaFarmersMarket,Saturday 10am-1pm,"Nov 7-May 8,2021",M/X/W/P,Y,Y,N,Y,42.44764,-79.315
74,Owls Landing Farm Farm Stand,7411 West Road,Lowville,13367.0,John Ingham,NY,3153762268,http://owlslandingfarm.com,"Mon-Fri 3p-5p            , Sat/Sun 1p-6pm",September 1-Nov 30,M,Y,N,N,Y,43.78906,-75.54409
75,JCEO MM-Malone DSS,184 Finney Blvd,Malone,12953.0,Richard LaVigne,NY,5183194028,http://www.jceo.org,Friday  11:30am-2pm,June 12-October 16,M,Y,Y,N,Y,44.83873,-74.30102
76,97th Street Greenmarket,West 97th St and Columbus Ave,New York,10025.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket/manhattan/west-97,Friday  8am-2pm,Year-round,YR,Y,Y,N,Y,40.79356,-73.96701
77,Syracuse Farm Fresh Mobile Market,500 West Newell Street,Syracuse,13205.0,Diane Turner,NY,3153450600,https://ssinterfaithcdc.org/projects/farm-fresh-mobile-market/,"Contact market for locations & times, 315-345-0600",Year-round,YR,Y,Y,N,Y,43.016878,-76.153714
78,Virgil Farmers' Market,1266 State Route 392,Virgil,13045.0,Matt Hollenbeck,NY,6078356455,http://hollenbeckscidermill.com,Saturday  9am-1pm,June 20-October 10,M,Y,N,N,Y,42.51058,-76.19184
79,Pleasantville Farmers' Market,Manville Rd and Wheeler Ave,Pleasantville,10570.0,Steven Bates,NY,9142054545,http://www.pleasantvillefarmersmarket.org,Saturday  8:30am-1pm,March 14-December 19,P/M,Y,Y,N,Y,41.13526,-73.79218
80,Curbside Market-Upper Square Falls,396 Hudson Ave,Rochester,14605.0,Andrea Cuzenz,NY,5854134069,http://www.foodlinkny.org,Sat 1:45pm-2:45pm,July 11-December 19,M/X,Y,Y,N,Y,43.17109,-77.60063
81,Country Fresh Tanger Outlets Farmers' Market,152 The Arches Circle,Deer Park,11747.0,Mary Schneider,NY,6316735844,,Saturday  10am-3pm,June 6-October 31,M,Y,N,N,Y,40.76307,-73.30507
82,McCarren Park Greenmarket,N 12th Street and Driggs Ave,Brooklyn,11222.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket/brooklyn/greenpoint-sa,Saturday  8am-2pm,Year-round,YR,Y,Y,N,Y,40.72046,-73.95269
83,Curbside Market-James Dobson Apts,150 Van Auker Street,Rochester,14608.0,Andrea Cuzenz,NY,5854134069,http://www.foodlinkny.org,Sat 2:15pm-3:30pm,July 11-December 19,M/X,Y,Y,N,Y,43.14997,-77.62109
84,Badman's Bushel Basket,14698 Route 90,Cortland,13045.0,Scott Badman,NY,6077495233,,"Tue-Sat  9am-6:30pm, Sun 9am-5pm",May 5-October 30,P/M,Y,N,N,Y,42.63978,-76.27522
85,Barber Family Farm Stand,3617 State Route 30,Fulton,12122.0,Sarah Hooper,NY,5188275454,http://www.barbersfarm.com,"Daily 9am-5:30pm, (January-May, Sat/Sun 9am-3pm)",Year-round,YR,Y,Y,N,Y,42.58123,-74.39189
86,Curbside Market-400 Towers,400 East Main St.,Batavia,14020.0,Andrea Cuzenz,NY,5854134069,http://www.foodlinkny.org,Mon 12:30pm-1:30pm,July 6-December 14,M/X,Y,Y,N,Y,42.99659,-78.17634
87,Project EATS St. Barnabas,4522 Third Ave.,Bronx,10457.0,Shevan Durant,NY,2126121528,http://www.projecteats.org,Wednesday 10am-7pm,August 8-November 11,M,Y,Y,N,Y,40.85495,-73.89033
88,Sullivan Fresh Market on the Move-PHS,50 Community Lane,Liberty,12754.0,Michelle Proscia,NY,8452926180,,Wednesday 11am-1pm,July1-September 30,M,Y,Y,N,Y,41.79551,-74.71228
89,Cottage Lawn Farmers' Market,435 Main St.,Oneida,13421.0,Colleen Donahue,NY,3153634136,http://www.mchsfarmersmarket.org/,Tuesday  3pm-7pm,May 26-September 1,P/M,Y,N,N,Y,43.08719,-75.64705
90,Lincoln Hospital Tue Greenmarket,East 149th St and Morris Ave,Bronx,10451.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket,Tuesday  8am-3pm,June 30-November 24,M,Y,Y,N,Y,40.81739,-73.92274
91,Brooklyn Borough Hall Saturday Greenmarket,Court St and Montague St,Brooklyn,11201.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket,Saturday 8am-4pm,Year-round,YR,Y,Y,N,Y,40.69374,-73.99043
92,Johnstown Farmers' Market,109 E. Main Street,Johnstown,12095.0,Michael Tillson,NY,5188829306,http://www.fmfma.org,Tuesday  3pm-6pm,June 23-October 13,M,Y,N,N,Y,43.00636,-74.37421
93,Plattsburgh Farmers' & Crafters Wed Market,Broad St and Durkee St,Plattsburgh,12901.0,Julie Baughn,NY,5188027164,http://www.facebook.com/pages/Plattsburgh-Farmers-and-Crafters-Market/121588034547095,Wednesday  10am-2pm,June 3-October 31,M,Y,N,N,Y,44.69535,-73.45226
94,Fromer Market Gardens Farm Stand,6120 Main Street,Tannersville,12485.0,Becky Kempter,NY,9165993136,,Saturdays  9am-3pm,Year-round,YR,N,N,N,Y,42.19546,-74.13889
95,Bushgardens Farm Stand,10371 NYS Route 26,Carthage,13619.0,Chris Bush,NY,3157836745,,"Daily  6am-6pm, Except Wed 3pm-6pm",May 15-November 1,M,Y,N,N,Y,43.91954,-75.58686
96,Roberts Farm Market,11170 Maple Ridge Rd.,Medina,14103.0,Margaret Roberts,NY,7165601200,http://www.robertsfarmmarket.com,"Mon-Sat 8am-6pm, Jan-Mar: Tue-Sat 9a-5p",Year-round,YR,Y,N,N,Y,43.20679,-78.40098
97,Union Square Saturday Greenmarket,Broadway and East 17th St,New York,10003.0,Siobahn Keys,NY,2127887476,https://www.grownyc.org/greenmarket,Saturday  8am-6pm,Year-round,YR,Y,Y,N,Y,40.7371,-73.99032
98,Veggie Mobile-Hometown Health Ctr,1044 State Street,Schenectady,12307.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Mon 2pm-2:45pm,Year-round,YR,Y,Y,Y,Y,42.8014,-73.9278
99,Belmont Farmers' Market,5429 NYS Route 19 N,Belmont,14813.0,Debra Wagoner,NY,5856108836,,Thursday  11am-5pm,June 4-October 8,P/M,Y,N,N,Y,42.2356,-78.05212
100,Veggie Mobile-Whitney Young Health Ctr,920 Lark Drive,Albany,12207.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Tue 11am-12pm,Year-round,YR,Y,Y,Y,Y,42.66215,-73.74859
101,Juliano's Farm Market,2365 State Route 5,Utica,13502.0,Deborah E Juliano,NY,3157230022,,"Mon-Sat 8am-6pm, Sunday 8am-4pm",April 23-October 31,P/M,Y,N,N,Y,43.09608,-75.14626
102,Route 50 Green Market,802 Saratoga Rd.,Burnt Hills,12027.0,Carol Gumienny,NY,5188858502,,Saturday  9am-1pm,June 1-October 3,M,Y,N,N,Y,42.90853,-73.89973
103,East Aurora Saturday Farmers' Market,123 Grey St,East Aurora,14052.0,Gail Fenton,NY,5853439491,http://www.eastaurorafarmersmarket.com,Saturday  7am-1pm,May 2-November 21,P/M,Y,N,N,Y,42.76593,-78.63413
104,Woodstock Farm Festival Farmers' Market,6 Maple Ln,Woodstock,12498.0,Jessica Lunt,NY,8452420275,http://www.woodstockfarmfestival.com,Wednesday  3pm-8pm,May 27-October 7,P/M,Y,Y,N,Y,42.04018,-74.11797
105,Lyons Falls Farmers' Market,6904 Laura St,Lyons Falls,13368.0,Amanda Jones,NY,6802225707,http://www.lyonsfallsalive.org,Tuesday  12pm-5pm,June 23-October 13,M,Y,N,N,Y,43.61458,-75.3562
106,Schoharie Co. Festival Wed Farmers' Market,942 East Main St,Cobleskill,12043.0,Donna Olsen,NY,5182842609,http://www.facebook.com/festivalfarmersmarket/,Wednesday  3pm-5pm,July 15-October 7,M,Y,Y,N,Y,42.68006,-74.46674
107,Curbside Market-Charlotte Harbortower I,4575 Lake Avenue,Rochester,14612.0,Andrea Cuzenz,NY,5854134069,http://www.foodlinkny.org,Fri 2:30pm-3:45pm,July 10-December 18,M/X,Y,Y,N,Y,43.25492,-77.61411
108,Geneva Lakefront Childcare Center Farm Stand,61 Elizabeth Blackwell St.,Geneva,14456.0,Cassandra Salo,NY,3157810014,,Tuesday  3pm-6pm,August -October,M,Y,N,N,Y,42.86515,-76.98162
109,Pray's Family Farm Stand-Keesville,391 Route 9N,Keeseville,12944.0,Darcy Pray,NY,5188347437,http://www.praysmarket.com,Daily 9am-6pm,May 1-Occtober 31,P/M,Y,N,N,Y,44.49367,-73.50798
110,Auburn Thu Farmers' Co-op Market,96 State Street,Auburn,13021.0,Mark Soper,NY,3157048609,http://www.auburnfarmerscoopmarketinc.com,Thu 7am-2pm,June 4-October 29,M,Y,Y,N,Y,42.93401,-76.57007
111,Obercreek Farm Stand,87 New Hamburg Road,Wappingers Falls,12590.0,Nina Doig,NY,8452980888,http://www.obercreekfarm.com,"Wed-Fri 10am-6pm, Sat-Sun 10am-5pm",Year-round,YR,Y,Y,N,Y,41.58378,-73.93705
112,West Point/Town of Highlands Farmers' Market,Main St and Cozzens Ave,Highlands,10928.0,Joanne Devereaux,NY,8454462459,http://www.facebook.com/WPTOHfarmersmarket/,Sunday  9am-2pm,June 14-October 28,M,Y,N,N,Y,41.3723,-73.96434
113,Debrucque's Produce Stand,3392 Seneca Turnpike,Canastota,13032.0,Gary J. Debrucque,NY,3153801015,,"Mon-Fri  10am-5pm, Sat/Sun  9am-3pm",June 1-October 31,M,Y,N,N,Y,43.06975,-75.75169
114,North Tonawanda City Sat Farmers' Market,310 Robinson Road,North Tonawanda,14120.0,Matt Parrish,NY,7166958555,http://www.northtonawanda.org/Departments/City%20Market.htm,Saturday  7am-1pm,Year-round,YR,Y,N,N,Y,43.03377,-78.87021
115,Rockefeller Center Fri Greenmarket,Rockefeller Plaza and West 50th St,New York,10112.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket,Friday  8am-5pm,July 17-August 21; Oct 2-October 23,M,Y,Y,N,Y,40.75914,-73.97873
116,R.E.A.P. Olean Farmers' Market,400 N. Union St.,Olean,14760.0,Stephanie Beneg,NY,7163745257,http://www.oleanfarmersmarket.com,Saturday  8am-1pm,May 2-October 31,P/M,Y,Y,N,Y,42.08329,-78.42987
117,New Covenant Farmers' Market,916 Western Ave,Albany,12203.0,Katy Stenta,NY,5184828063,http://www.facebook.com/NewCovenantFarmersMarket/,Tuesday  3pm-6pm,May 19-September 29,P/M,Y,N,N,Y,42.67228,-73.81026
