,Serial Number,Premise Address,Premise City,Premise State,Premise Zip,Georeference
38,1286133,50-27 31ST AVE STORE #13,WOODSIDE,NY,11377,
39,2207451,5410 RTE 23,WINDHAM,NY,12496,
40,2207993,695 RTE 17M,MONROE,NY,10950,POINT (-74.190653 41.327766)
41,3165995,SOUTH 5755 MAELOU DR,HAMBURG,NY,14075,
42,1331516,89 DIVISION STREET,SAG HARBOR,NY,11963,POINT (-72.29393 41.00006)
43,2500961,314 CLARK STREET,AUBURN,NY,13021,POINT (-76.588443 42.932451)
44,2006081,2651 DUGWAY RD,MORIAH CENTER,NY,12961,
45,1022752,PENN STA MAIN CONCOURSE,NEW YORK,NY,10001,
46,1039476,87 67 PARSONS BLVD,JAMAICA,NY,11432,
47,1041501,37 08 83RD STREET,JACKSON HEIGHTS,NY,11372,
48,1047074,270 WALT WHITMAN RD RTE 110,HUNTINGTON STATION,NY,11755,
49,2013565,51 TINKER STREET,WOODSTOCK,NY,12498,POINT (-74.119722 42.040434)
50,3013870,74 76 MAIN ST,MACEDON,NY,14502,
51,1110921,21 25 BROADWAY,LONG ISLAND CITY,NY,11106,
52,3119030,2365 WILLIAM ST,CHEEKTOWAGA,NY,14206,POINT (-78.783001 42.884324)
53,1163602,310 E 46TH STREET AKA 309 E 45,NEW YORK,NY,10017,
54,1177106,96 01 ROOSEVELT AVENUE,CORONA,NY,11368,
55,1237086,253 24 NORTHERN BLVD,LITTLE NECK,NY,11363,
56,1254474,468 W 47TH ST,NEW YORK,NY,10036,POINT (-73.99279 40.762656)
57,1260407,1585 WATSON AVE,BRONX,NY,10472,POINT (-73.875606 40.826436)
58,1264615,1420 GRAND CONCOURSE,BRONX,NY,10456,POINT (-73.913138 40.839427)
59,2196608,319 BLISS GULF RD,MILFORD,NY,13820,
60,1285495,4643 3RD AVE,BRONX,NY,10458,POINT (-73.891102 40.857117)
61,1302361,127 COLUMBIA ST,BROOKLYN,NY,11231,POINT (-74.00156900000002 40.687371)
62,1302422,2957 BROADWAY,NEW YORK,NY,10025,POINT (-73.96435 40.807573)
63,3162355,350 EAST AVE,ROCHESTER,NY,14604,POINT (-77.595044 43.155202)
64,2602907,ONE STUART ST,BINGHAMTON,NY,13901,
65,3135644,215 W LAKE ROAD,MAYVILLE,NY,14757,POINT (-79.489566 42.23387)
66,1252599,21 69 STEINWAY ST,ASTORIA,NY,11105,
67,1267850,5389 MERRICK RD,MASSAPEQUA,NY,11758,POINT (-73.437797 40.668014)
68,1287500,466 ONDERDONK AVE,RIDGEWOOD,NY,11385,POINT (-73.912081 40.706854)
69,3157851,667 OAKWOOD AVE,EAST AURORA,NY,14052,POINT (-78.609961 42.76556800000001)
70,2208061,46 FRONT ST,PORT JERVIS,NY,12771,POINT (-74.692086 41.373329)
71,1304113,421 W 202ND ST,NEW YORK,NY,10034,POINT (-73.920515 40.860995)
72,2216185,2514 STATE RTE 52,LIBERTY,NY,12754,POINT (-74.765007 41.79748)
73,2216428,411 E GENESEE ST,FAYETTEVILLE,NY,13066,POINT (-76.006094 43.029693)
74,1334364,31320 MAIN RD,CUTCHOGUE,NY,11935,POINT (-72.480666 41.018509)
75,2005220,RTE 44 EAST,MILLERTON,NY,12546,
76,1011906,8611 3RD AVENUE,BROOKLYN,NY,11209,POINT (-74.031213 40.623106)
77,3010605,7 SOUTH AVE,WEBSTER,NY,14580,POINT (-77.430321 43.211898000000005)
78,2008078,W LAKE ROAD,TUXEDO PARK,NY,10987,
79,2011582,979 ROUTE 9,GANSEVOORT,NY,12831,
80,3013144,312 CANISTEO ST,HORNELL,NY,14843,POINT (-77.66206 42.31941)
81,2000121,J F KENNEDY INTL AIRPORT,JAMAICA,NY,11430,
82,1170095,PIER 9 SHEEPSHEAD BAY,BROOKLYN,NY,11229,
83,1192992,JFK INTL TERMINAL 1 UNIT 17,JAMAICA,NY,11430,
84,1265535,145-107 GUY R BREWER BLVD,JAMAICA,NY,11434,
85,1272905,1647 2ND AVE,NEW YORK,NY,10028,POINT (-73.952008 40.777493)
86,1288700,142 01 FARMERS BLVD,JAMAICA,NY,11434,
87,1301224,210 TAPSCOTT ST,BROOKLYN,NY,11212,POINT (-73.919664 40.662762)
88,1303981,2115 WILLIAMSBRIDGE RD,BRONX,NY,10461,POINT (-73.855577 40.855835)
89,1310497,1647 PACIFIC ST,BROOKLYN,NY,11213,POINT (-73.93608 40.676901)
90,1311138,157 E BROADWAY,ROSLYN,NY,11576,POINT (-73.645883 40.797344)
91,1317820,95 PULASKI RD,KINGS PARK,NY,11754,POINT (-73.260565 40.884556)
92,3162795,500 MAIN ST,MEDINA,NY,14103,POINT (-78.386923 43.220199)
93,1109954,429 MERRICK RD,LYNBROOK,NY,11563,POINT (-73.677075 40.658596)
94,1182668,34 12 34TH AVENUE,ASTORIA,NY,11106,
95,1264352,1966 BROADHOLLOW RD,FARMINGDALE,NY,11735,POINT (-73.422731 40.745685)
96,1265190,100A OAK POINT AVE,BRONX,NY,10474,
97,3153322,3635 RTE 78,STRYKERSVILLE,NY,14145,
98,1272130,6869 FRESH POND RD,RIDGEWOOD,NY,11385,POINT (-73.895467 40.703362)
99,1286267,961 MCLEAN AVE,YONKERS,NY,10704,POINT (-73.866112 40.903208)
100,1297372,15 TRADE ZONE COURT,RONKONKOMA,NY,11779,POINT (-73.090327 40.783878)
101,1311657,27 HORTON AVE,NEW ROCHELLE,NY,10801,POINT (-73.788184 40.920056)
102,1318064,1045 FLUSHING AVE,BROOKLYN,NY,11237,POINT (-73.930372 40.704084)
103,2503599,ROUTE 12  MAPLEDALE PLAZA,BARNEVELD,NY,13304,
104,1158752,515 BROADHOLLOW RD,MELVILLE,NY,11747,POINT (-73.422419 40.771409)
105,1181280,2058A SUNRISE HGWY,BAYSHORE,NY,11706,POINT (-73.226416 40.739287)
106,1258356,853 MANHATTAN AVENUE,BROOKLYN,NY,11222,POINT (-73.95378200000002 40.729153)
107,1266247,95 09 SUTPHIN BLV,JAMAICA,NY,11435,
108,1287760,984 986 AMSTERDAM AVE,NEW YORK,NY,10025,POINT (-73.964291 40.802372)
109,1289743,117 STATE ST,WESTBURY,NY,11590,POINT (-73.55899 40.759092)
110,1290242,270 S SPUR DR,BAY SHORE,NY,11706,POINT (-73.264965 40.748015)
111,2201937,425 GATEWAY RD W,NAPA,CA,94558,POINT (-122.264954 38.225246)
112,2207581,187 MILL ST,LIBERTY,NY,12754,POINT (-74.735883 41.79382)
113,1304843,136-72 ROOSEVELT AVE,QUEENS,NY,11354,POINT (-73.827511 40.760222000000006)
114,1312335,463 E 173RD ST,BRONX,NY,10457,POINT (-73.901384 40.841683)
115,1313250,134 WESTCHESTER SQ,BRONX,NY,10461,POINT (-73.841195 40.840582)
116,2108189,5794 ROUTE 86,WILMINGTON,NY,12997,POINT (-73.812672 44.388844)
117,2130057,5565 TESLA RD,LIVERMORE,CA,94550,POINT (-121.723983 37.665089)
118,2132235,10295 WESTSIDE RD,HEALDSBURG,CA,954488346,POINT (-122.89631799999998 38.501747)
119,2135184,2014 MILL CREEK ROAD,WALLA WALLA,WA,99362,POINT (-118.226569 46.08853800000001)
120,2139685,63 THOMAS RD,BUELLTON,CA,93427,POINT (-120.187445 34.620639)
121,1227485,82 33 BROADWAY,ELMHURST,NY,11373,
122,2173094,111 5TH ST,AMITY,OR,97101,POINT (-123.207061 45.115569)
123,2179103,3796 PEPPERS BRIDGE RD,WALLA WALLA,WA,99362,POINT (-118.383438 46.016073)
124,2182719,7830 40 ST HELENA HWY,OAKVILLE,CA,94562,POINT (-122.401188 38.435072)
125,2189832,6385 CROSS CANYONS RD,SAN MIGUEL,CA,93451,POINT (-120.618112 35.747102)
126,1274946,400 HALLET AVE,RIVERHEAD,NY,11901,POINT (-72.667774 40.919963)
127,2206171,1276 BROADWAY,ALBANY,NY,12204,POINT (-73.736422 42.674843)
128,1313990,43-29 MAIN ST,FLUSHING,NY,11355,
129,2214884,1251 W LAUREL AVE,LOMPOC,CA,93436,POINT (-120.472586 34.643942)
130,1034482,46 30 VERNON BLVD,LONG ISLAND CITY,NY,11101,
131,1100667,35A PAGE AVENUE,STATEN ISLAND,NY,10307,POINT (-74.234806 40.523744)
132,1146013,143 59 243RD STREET,ROSEDALE,NY,11422,
133,1178398,96 06 ROOSEVELT AVE,CORONA,NY,11368,
134,1238758,82 77 BROADWAY,ELMHURST,NY,11373,
135,3153441,1655 LAKEVILLE RD,AVON,NY,14414,POINT (-77.70643800000002 42.908938)
136,2194967,59 MAIN ST,CHATHAM,NY,12037,POINT (-73.596226 42.36252)
137,2201585,416 RTE 28,KINGSTON,NY,12401,
138,1290257,76-14 WOODSIDE AVE,ELMHURST,NY,11373,POINT (-73.888327 40.743495)
139,2201929,27 W MAIN ST,BAINBRIDGE,NY,13733,POINT (-75.480159 42.294051)
140,2202846,15409 SONOMA HWY,SONOMA,CA,95476,
141,3012701,9681 RTE 414,LODI,NY,14860,
142,2157530,LAGAURDIA AIRPORT-LGA,FLUSHING,NY,11371,
143,1238678,98 JACKSON AVENUE,SYOSSET,NY,11791,POINT (-73.502278 40.823439)
144,1276295,1911 FRANCIS LEWIS BLV,WHITESTONE,NY,11357,POINT (-73.802892 40.780926)
145,1322091,428-430 E 10TH ST,NEW YORK,NY,10009,POINT (-73.976215 40.725323)
146,3164998,570 SNELL RD,GENEVA,NY,14456,POINT (-76.999309 42.828959)
147,1000712,1524 MAYFLOWER AVENUE,BRONX,NY,10461,POINT (-73.834694 40.841555)
148,1148122,72 05 GRAND AVENUE,MASPETH,NY,11378,
149,1231090,32 02 36TH AVE,LONG ISLAND CITY,NY,11106,
150,2186624,2989 CR 6,HAMMOND,NY,13646,
151,1276537,149-06 NORTHERN BLVD,FLUSHING,NY,11354,POINT (-73.816765 40.765297)
152,1276608,1336 BUSHWICK AVE,BROOKLYN,NY,11207,POINT (-73.911759 40.685869)
153,1277279,60 10 KISSENA BLVD,FLUSHING,NY,11355,
154,1292665,195 COMMACK RD,COMMACK,NY,11725,POINT (-73.294652 40.83753)
155,1292796,279 E HOUSTON ST,NEW YORK,NY,10002,POINT (-73.984328 40.72154)
156,1307437,137-01 137-03 CROSSBAY BLVD,OZONE PARK,NY,11417,POINT (-73.843059 40.672039)
157,1308472,600 W 58TH ST,NEW YORK,NY,10019,POINT (-73.99078000000002 40.770937)
158,1319001,15 BANK ST,WHITE PLAINS,NY,10606,POINT (-73.774025 41.031347000000004)
159,2219109,2390 WESTERN AVE,ALBANY,NY,12084,
160,1039321,98 85 QUEENS BLVD,FOREST HILLS,NY,11375,
161,1185967,73 05 AUSTIN STREET,FOREST HILLS,NY,11375,
162,3156312,228 ALLEN ST,BUFFALO,NY,14201,POINT (-78.878634 42.899468)
163,1306608,406 JERUSALEM AVE,HICKSVILLE,NY,11801,POINT (-73.518578 40.749615)
164,3160447,114 N CAYUGA ST,ITHACA,NY,14850,POINT (-76.499051 42.439824)
165,1321550,247 STARR ST,BROOKLYN,NY,11237,POINT (-73.922321 40.705929)
166,2142246,596 COLUMBIA TURNPIKE,EAST GREENBUSH,NY,12061,POINT (-73.709736 42.598577)
167,3152906,746 JOSEPH AVE,ROCHESTER,NY,14621,POINT (-77.607815 43.17815)
168,2211006,161 MAIN ST,PHILMONT,NY,12565,
169,1308795,15 W 39TH ST,NEW YORK,NY,10018,POINT (-73.983529 40.752116)
170,2211899,192 ORCHARD LN,HILLSDALE,NY,12529,POINT (-73.518845 42.215053)
171,2216191,14451 RICHMOND AVE,FAIR HAVEN,NY,13064,
172,3162747,2666 MAIN ST,BATAVIA,NY,14020,
173,2217088,1350 5TH ST,BERKELEY,CA,94710,POINT (-122.30231300000001 37.878618)
174,1321880,188 15 NORTHERN BLVD,FLUSHING,NY,11358,
175,2219502,2452 RTE 9,MALTA,NY,12020,
176,1199051,4100 1ST AVE UNIT A,BROOKLYN,NY,11232,POINT (-74.014238 40.655187)
177,1276338,5745 SUNRISE HWY,HOLBROOK,NY,11741,POINT (-73.06823400000002 40.768975000000005)
178,1278824,108-110 ADEE ST,PORT CHESTER,NY,10573,POINT (-73.662853 41.001771)
179,2204771,4550 SILVERADO TRAIL,CALISTOGA,CA,94515,POINT (-122.54937700000002 38.57468)
180,1322711,573 NESCONSET HWY,HAUPPAUGE,NY,11788,POINT (-73.186606 40.835432)
181,1328022,527 CARROL ST,BROOKLYN,NY,11215,POINT (-73.98454400000001 40.676401)
182,1039014,60 48 MYRTLE AVE,RIDGEWOOD,NY,11385,
183,2606279,1714 MAIN STREET,SYLVAN BEACH,NY,13157,POINT (-75.728099 43.205017)
184,3153539,3380 COUNTY RTE 28,WATKINS GLEN,NY,14891,
185,3154542,47 E MOHAWK ST,BUFFALO,NY,14203,POINT (-78.87208 42.886895)
186,1278063,31 WALKER ST,NEW YORK,NY,10013,POINT (-74.004143 40.719357)
187,1279561,253 WEST 26TH ST,NEW YORK,NY,10001,POINT (-73.99632200000002 40.746885)
188,2205076,33757 CARMEL VALLEY RD,CARMEL VALLEY,CA,93923,
189,2211793,515 RIVER ST,TROY,NY,12180,POINT (-73.686239 42.738938)
190,3164098,7483 SALMON CREEK RD,WILLIAMSON,NY,14589,POINT (-77.194865 43.268987)
191,1326041,190 NEW HYDE PARK RD,FRANKLIN SQUARE,NY,11010,POINT (-73.676892 40.712661)
192,1327046,943 BROADWAY,BROOKLYN,NY,11206,POINT (-73.935238 40.696981)
193,1129579,2468 MAIN ST,BRIDGEHAMPTON,NY,11932,
194,3151706,11 W MAIN ST,VICTOR,NY,14564,POINT (-77.410255 42.982839)
195,2196433,115 TEMPLE HILL RD,NEW WINDSOR,NY,12553,POINT (-74.058325 41.455511)
196,2203105,72 CLIFF ST,CANAJOHARIE,NY,13317,POINT (-74.575931 42.904896)
197,1294526,124 SOUTH ST,OYSTER BAY,NY,11771,POINT (-73.530862 40.871799)
198,1305245,117 W 58TH ST,NEW YORK,NY,10019,POINT (-73.977469 40.765326)
199,2217952,2100 HOFFMAN LN,NAPA,CA,94558,POINT (-122.353957 38.383104)
200,2221400,105 2ND AVE EXT,MAYFIELD,NY,12117,
201,2126644,3426 HOXIE GORGE RD,MARATHON,NY,13803,POINT (-76.05149500000002 42.527041)
202,1189235,20 15 NEW HAVEN AVENUE,FAR ROCKAWAY,NY,11691,
203,1264824,259 W 19TH ST,NEW YORK,NY,10011,POINT (-73.999599 40.742553)
204,3152822,541 BELL RD,CORFU,NY,14036,POINT (-78.44502 42.927966)
205,3153787,13920 STATE RTE 54,HAMMONDSPORT,NY,14840,POINT (-77.139014 42.484859)
206,1273035,6809 QUEENS BLVD,WOODSIDE,NY,11377,POINT (-73.89616400000001 40.740533)
207,2200192,11 RAILROAD AVE,COOPERSTOWN,NY,13326,POINT (-74.932058 42.69983)
208,1297238,41-08 BELL BLVD,BAYSIDE,NY,11361,POINT (-73.770848 40.763361)
209,1297479,223-14 S CONDUIT AVE,SPRINGFIELD GARDENS,NY,11413,POINT (-73.754575 40.66549)
210,1311979,1477 MYRTLE AVE,BROOKLYN,NY,11237,POINT (-73.916622 40.698989)
211,1329415,91-28 CORONA AVE,ELMHURST,NY,11373,POINT (-73.87255100000002 40.742463)
212,2013261,742 BROADWAY,ULSTER PARK,NY,12487,POINT (-73.970021 41.856739)
213,1177178,511 WEST 54TH ST,NEW YORK,NY,10019,POINT (-73.990624 40.767467)
214,1205727,200 CHAMBERS ST AKA 206 W ST,NEW YORK,NY,10007,
215,1244790,84 16 NORTHERN BLVD,JACKSON HGTS,NY,11372,
216,1294402,19 S FRANKLIN ST,HEMPSTEAD,NY,11550,POINT (-73.625939 40.70505)
217,1297498,138-13A QUEENS BLVD,BRIARWOOD,NY,11435,
218,2213732,4914 STATE RTE 365,VERONA,NY,13478,POINT (-75.614766 43.099784)
219,3162591,11 W MAIN ST,LANCASTER,NY,14086,POINT (-78.671285 42.90134)
220,2217538,20799 HWY 128,YORKVILLE,CA,95494,POINT (-123.295884 38.925817)
221,1325256,48 W 38TH ST,NEW YORK,NY,10018,POINT (-73.98486 40.751882)
222,1110989,34 02 LINDEN PLACE,FLUSHING,NY,11354,
223,1119582,87 54 PARSONS BLVD,JAMAICA,NY,11432,
224,3123853,5435 ROUTE 14,DUNDEE,NY,14837,
225,1196877,7344 AMBOY ROAD,STATEN ISLAND,NY,10307,POINT (-74.241958 40.510836)
226,1247285,428 91ST ST,BROOKLYN,NY,11209,POINT (-74.029516 40.618998)
227,1281383,133-35 ROOSEVELT AVE,FLUSHING,NY,11354,POINT (-73.833027 40.758576000000005)
228,2214258,1982 STATE HWY 11C,N LAWRENCE,NY,12967,POINT (-74.67783 44.803816)
229,1325847,63 FLUSHING AVE,BROOKLYN,NY,11205,POINT (-73.975179 40.698038)
230,1196601,72 56 AUSTIN ST,FOREST HILLS,NY,11375,
231,2197714,6308 SHELBURNE RD,SHELBURNE,VT,05482,POINT (-73.23302 44.366242)
232,1328719,84 86 MAMARONECK AVE,WHITE PLAINS,NY,10601,POINT (-73.765952 41.030683)
233,1212119,166 S 4TH ST,BROOKLYN,NY,11211,POINT (-73.961295 40.711301)
234,1234292,200 ROCKAWAY AVE,VALLEY STREAM,NY,11580,POINT (-73.699581 40.661464)
235,1276044,89-45 163RD ST,JAMAICA,NY,11435,
236,1283134,1268 2ND AVE,NEW YORK,NY,10065,POINT (-73.960894 40.765301)
237,1299788,29-01 FRANCIS LEWIS BLVD,FLUSHING,NY,11358,POINT (-73.792816 40.770066)
238,2206997,11 BALSAM ST,TUPPER LAKE,NY,12986,POINT (-74.486738 44.243034)
239,2214042,410 RTE 376,HOPEWELL JUNCTION,NY,12533,POINT (-73.808256 41.579194)
240,1331549,2356 ARTHUR AVE,BRONX,NY,10458,POINT (-73.888317 40.854676)
241,1026914,243 E 58TH STREET,NEW YORK,NY,10022,POINT (-73.965185 40.760141)
242,1044913,335 NESCONSET HWY  RT 347,HAUPPAUGE,NY,11788,
243,1046968,100 BROAD HOLLOW ROAD,MELVILLE,NY,11747,
244,1125815,65 01 KISSENA BLVD,FLUSHING,NY,11367,
245,1250669,154 16 HORACE HARDING BLVD,FLUSHING,NY,11367,
246,1275906,31-12 DITMARS BLVD,ASTORIA,NY,11105,POINT (-73.910324 40.77586000000001)
247,1298800,750 ASTOR AVE,BRONX,NY,10467,POINT (-73.865331 40.859575)
248,2206267,35 FLORIDA ST,PLATTSBURGH,NY,12903,POINT (-73.467642 44.667539)
249,3158567,8 W TIOGA ST,SPENCER,NY,14883,POINT (-76.493376 42.209743)
250,1314153,147 CHATSWORTH AVE,LARCHMONT,NY,10538,POINT (-73.759493 40.933136)
251,2214715,512 BROADWAY,MONTICELLO,NY,12701,POINT (-74.691129 41.656132)
252,1314993,141-41 NORTHERN BLVD,FLUSHING,NY,11354,POINT (-73.824257 40.764603)
253,2218320,14 GRISTMILL LN,GARDINER,NY,12525,POINT (-74.175175 41.687165)
254,1321285,69-11B ROOSEVELT AVE,WOODSIDE,NY,11377,
255,1322485,1293 CASTLETON AVE,STATEN ISLAND,NY,10310,POINT (-74.125809 40.633869)
256,3156858,186 ATLANTIC AVE,ROCHESTER,NY,14607,POINT (-77.579612 43.156059)
257,2503391,485 FRENCH ROAD,UTICA,NY,13502,POINT (-75.281171 43.084635)
258,1036493,33 02 31ST AVENUE,ASTORIA,NY,11106,
259,1000561,2333 ARTHUR AVENUE,BRONX,NY,10458,POINT (-73.888743 40.854176)
260,1164017,108 55 157TH STREET,JAMAICA,NY,11433,
261,1253921,21 41 LENOX AVE,NEW YORK,NY,10026,POINT (-73.951795 40.799258)
262,2208811,2975 MITCHELL RANCH WAY,PASO ROBLES,CA,93446,
263,2218729,98 RYAN RD,PINE PLAINS,NY,12567,POINT (-73.667235 41.990115)
264,2218887,32 S MIDDLETOWN RD,NANUET,NY,10954,POINT (-74.012377 41.09498)
265,2208274,439 FLOYD ACKERT RD,WEST PARK,NY,12493,
266,1322564,3 WORLD TRADE CENTER,NEW YORK,NY,10007,
267,2222894,6705 CRISTO LN,SANTA ROSA,CA,95409,
268,1034808,41 55 MAIN STREET,FLUSHING,NY,11355,
269,1303889,64 02 ROOSEVELT AVE,WOODSIDE,NY,11377,
270,1327825,1081 MASTIC RD,MASTIC,NY,11950,POINT (-72.840587 40.802451)
271,2197070,120 TOWNSHIP BLVD,SYRACUSE,NY,13210,
272,1039503,138 44 101ST AVENUE,JAMAICA,NY,11435,
273,2603485,KATTELVILLE ROAD,CHENANGO BRIDGE,NY,13745,
274,1324575,5559 S MOGER AVE,MOUNT KISCO,NY,10549,
275,1326743,653 BLAKE AVE,BROOKLYN,NY,11207,POINT (-73.894459 40.667884)
276,1328518,3289 FULTON AVE,BROOKLYN,NY,11208,POINT (-73.873766 40.683198)
277,2128845,6296 NYS RTE 30,INDIAN LAKE,NY,12842,
278,1134280,1152 WANTAGH AVE,WANTAGH,NY,11793,POINT (-73.507429 40.694988)
279,2144586,19-21 N MAIN ST,SPRING VALLEY,NY,10977,POINT (-74.044695 41.112775)
280,2223376,3953 RTE 22,WILLSBORO,NY,12996,
281,2209231,1727 STATE RTE 12B,HAMILTON,NY,13346,
282,2211473,14701 BODEGA HWY,BODEGA,CA,94922,POINT (-122.931985 38.357811)
283,1258770,394 AVENUE P,BROOKLYN,NY,11223,POINT (-73.972675 40.608850000000004)
284,1281321,535 E TREMONT AVE,BRONX,NY,10457,POINT (-73.895877 40.846598)
285,2006962,212 WEST BRIDGE STREET,CATSKILL,NY,12414,POINT (-73.878542 42.215035)
286,1300395,200 VESEY ST,NEW YORK,NY,10281,
287,1290886,81D FORT SALONGA RD,NORTHPORT,NY,11768,POINT (-73.353477 40.890237)
288,2214029,952 CRANE ST,SCHENECTADY,NY,12303,POINT (-73.94787 42.799121)
289,1312182,545 W 30TH ST,NEW YORK,NY,10001,POINT (-74.002258 40.752596)
290,1028039,659 9TH AVE,NEW YORK,NY,10036,POINT (-73.990926 40.76078)
291,1301565,63 FLUSHING AVE,BROOKLYN,NY,11205,POINT (-73.975179 40.698038)
292,1309216,858 SCARSDALE AVE,SCARSDALE,NY,10583,POINT (-73.808612 40.987477)
293,3122318,795 CENTER ST,LEWISTON,NY,14092,POINT (-79.036176 43.172439)
294,1224645,206-09 LINDEN BLVD,CAMBRIA HEIGHTS,NY,11411,POINT (-73.745673 40.696261)
295,1331511,521 ATLANTIC AVE,FREEPORT,NY,11520,POINT (-73.598755 40.642687)
296,3139354,100 E NAPLES ST,WAYLAND,NY,14572,POINT (-77.589326 42.56783)
297,1256242,853 MIDLAND AVE,YONKERS,NY,10704,POINT (-73.861594 40.935387)
298,1119575,5592-5594 BROADWAY,BRONX,NY,10463,POINT (-73.904373 40.879317)
299,2502292,19260 US ROUTE 11,WATERTOWN,NY,13601,POINT (-75.91547 43.946055)
300,2000561,"3899 CARMEN RD,T/O GUILDERLAND",SCHENECTADY,NY,12303,
301,1205796,1764 MERRICK AVE,MERRICK,NY,11566,POINT (-73.556902 40.675223)
302,1301100,138-10 135TH AVE,JAMAICA,NY,11436,POINT (-73.799415 40.667796)
303,3100980,4937 TRANSIT ROAD,DEPEW,NY,14043,POINT (-78.696922 42.880107)
304,2602780,3114A COUNTY ROUTE 6,MORRISTOWN,NY,13664,POINT (-75.606606 44.51536)
305,2127342,448 ROUTE 9,FISHKILL,NY,12524,POINT (-73.889016 41.518739)
306,1137617,43 67 KISSENA BLVD,FLUSHING,NY,11355,
307,2171844,40 VASSAR RD,POUGHKEEPSIE,NY,12603,POINT (-73.874943 41.652821)
308,3159743,428 DINGENS ST,BUFFALO,NY,14206,POINT (-78.799737 42.877718)
309,2132568,BLDG 1700 PAFB,PLATTSBURGH,NY,12903,
310,2005364,10 CHARLES COLMAN BLVD,PAWLING,NY,12564,POINT (-73.601674 41.562133)
311,1142182,151 SANDFORD BLVD WEST,MT VERNON,NY,10550,POINT (-73.838719 40.89809)
312,3013032,63 65 W MARKET ST,CORNING,NY,14830,POINT (-77.057151 42.143893)
313,3163913,4906 S BUFFALO ST,ORCHARD PARK,NY,14137,POINT (-78.747912 42.75092500000001)
314,1226676,687 6TH AVENUE,BROOKLYN,NY,11215,POINT (-73.99051 40.660694)
315,1300993,247 249 S BROADWAY,HICKSVILLE,NY,11801,POINT (-73.51794 40.762988)
316,2004569,2960 ROUTE 9,VALATIE,NY,12184,POINT (-73.688396 42.427957)
317,2168514,3748 STATE HIGHWAY 37,OGDENSBURG,NY,13669,POINT (-75.630838 44.596717)
